name1	name2	single_tel_length_norm
CMK	CMK	0.8709323665
CLQ	CLQ	-9
CLN	CLN	-0.3316983147
AFN	AFN	-9
ADQ	ADQ	-9
AFM	AFM	-9
APA	APA	0.8810811486
BTS	BTS	-9
ANT	ANT	-9
ANR	ANR	-9
ANV	ANV	-9
ADN	ADN	-9
CMF	CMF	-9
CMI	CMI	0.7161634392
AAD	AAD	-9
ANS	ANS	0.4827414504
AQN	AQN	-0.3253553259
CLM	CLM	-9
CMN	CMN	-9
APC	APC	-0.0843217505
APD	APD	-9
AVC	AVC	-9
CMD	CMD	-9
CLP	CLP	-0.5638517057
CMC	CMC	-9
APF	APF	-0.0272348511
APE	APE	-9
AVD	AVD	-9
AVM	AVM	-9
CLT	CLT	-9
CLS	CLS	-0.4902730353
CME	CME	-9
CLL	CLL	-1.0801709961
CLR	CLR	-1.2057621748
CML	CML	-9
CMM	CMM	-9
CMB	CMB	-9
AVL	AVL	-9
CLV	CLV	-9
CLK	CLK	-9
CQQ	CQQ	-9
CQR	CQR	-9
AHQ	AHQ	-9
CGL	CGL	0.5639317074
AFH	AFH	-9
AGG	AGG	-2.0658714595
AEP	AEP	-0.184540974
CEV	CEV	-9
CGI	CGI	-0.2099129293
CGN	CGN	1.2286769363
CGP	CGP	1.5902272993
