Strain	Single_tel_length	Clade	Gene	CN
BTC	272.25	08.Mixed_origin	ATP8	8.5
BBF	263.25	08.Mixed_origin	ATP8	18
AAP	243.75	08.Mixed_origin	ATP8	12.5
ALN	430.75	08.Mixed_origin	ATP8	18.5
CHI	286.125	08.Mixed_origin	ATP8	6
APL	295.625	08.Mixed_origin	ATP8	7.5
BDL	266.625	08.Mixed_origin	ATP8	11.5
ADM	409.625	08.Mixed_origin	ATP8	4
AKT	213.875	08.Mixed_origin	ATP8	10.5
CHG	303.75	08.Mixed_origin	ATP8	5.5
CHR	231.125	08.Mixed_origin	ATP8	8
CPI	194.5	09.Mexican_Agave	ATP8	10
CPM	358.875	09.Mexican_Agave	ATP8	4.5
CPK	206.5	09.Mexican_Agave	ATP8	21.5
CPL	357.875	09.Mexican_Agave	ATP8	15
CPN	299	09.Mexican_Agave	ATP8	9
ALI	207.25	99.Other	ATP8	5
BCG	254.75	10.French_Guiana_human	ATP8	20.5
BCB	197.5	10.French_Guiana_human	ATP8	32
BCM	266.375	10.French_Guiana_human	ATP8	14
BDT	211.125	10.French_Guiana_human	ATP8	21.5
BCF	318.875	10.French_Guiana_human	ATP8	26.5
BCL	260.875	10.French_Guiana_human	ATP8	22.5
BCD	219	10.French_Guiana_human	ATP8	9
BDP	219.875	10.French_Guiana_human	ATP8	12
BCC	202.5	10.French_Guiana_human	ATP8	18
BED	213.375	10.French_Guiana_human	ATP8	20
BCE	248.5	10.French_Guiana_human	ATP8	14
BCQ	244.125	10.French_Guiana_human	ATP8	26
BDV	237.375	10.French_Guiana_human	ATP8	20
BNB	314.625	10.French_Guiana_human	ATP8	3
BDR	202	10.French_Guiana_human	ATP8	30.5
BMV	215.875	10.French_Guiana_human	ATP8	2.5
BNA	215.25	10.French_Guiana_human	ATP8	4
BCH	216.25	10.French_Guiana_human	ATP8	18
BCP	239.125	10.French_Guiana_human	ATP8	27.5
BDS	221.5	10.French_Guiana_human	ATP8	22
BEA	223	10.French_Guiana_human	ATP8	20
BNC	191	10.French_Guiana_human	ATP8	2
BDQ	228.125	10.French_Guiana_human	ATP8	20
BEB	226	10.French_Guiana_human	ATP8	18.5
BCK	260.375	10.French_Guiana_human	ATP8	13.5
BMR	244.125	10.French_Guiana_human	ATP8	1.5
BEE	231.375	10.French_Guiana_human	ATP8	9.5
BND	185.875	10.French_Guiana_human	ATP8	2.5
CQS	312.25	99.Other	ATP8	3.5
BBM	192.125	99.Other	ATP8	13
CPA	104.375	99.Other	ATP8	12
AGB	40.875	11.Ale_beer	ATP8	26.5
AAC	361.75	11.Ale_beer	ATP8	13
CNC	265.75	M3.Mosaic_Region_3	ATP8	27
CBL	228.875	M3.Mosaic_Region_3	ATP8	3.5
AKI	183.625	M3.Mosaic_Region_3	ATP8	6.5
ATE	182.125	M3.Mosaic_Region_3	ATP8	18.5
CBM	270.875	M3.Mosaic_Region_3	ATP8	4
CLG	168.5	M3.Mosaic_Region_3	ATP8	5
CQC	184	12.West_African_cocoa	ATP8	4.5
CQD	209.625	12.West_African_cocoa	ATP8	3.5
CQG	249.125	12.West_African_cocoa	ATP8	5
CQI	169.375	12.West_African_cocoa	ATP8	9.5
CQH	218.125	12.West_African_cocoa	ATP8	5.5
CQL	384.75	12.West_African_cocoa	ATP8	6.5
ANN	208.125	12.West_African_cocoa	ATP8	7.5
CQM	348.5	12.West_African_cocoa	ATP8	11.5
CQE	200.5	12.West_African_cocoa	ATP8	5.5
CQK	334.25	12.West_African_cocoa	ATP8	7
CQF	186	12.West_African_cocoa	ATP8	5
CQN	391.875	12.West_African_cocoa	ATP8	8.5
CQP	314	M3.Mosaic_Region_3	ATP8	4
AKQ	214.75	M3.Mosaic_Region_3	ATP8	6
AKS	157.875	M3.Mosaic_Region_3	ATP8	4.5
ALG	156.375	M3.Mosaic_Region_3	ATP8	5.5
