Strain,Single_tel_length,Clade,Gene,CN
BNB,314.625,10.French_Guiana_human,YFR054C,1
BMV,215.875,10.French_Guiana_human,YFR054C,<1
BCH,216.25,10.French_Guiana_human,YFR054C,1
BEA,223,10.French_Guiana_human,YFR054C,1
BNC,191,10.French_Guiana_human,YFR054C,1
BDQ,228.125,10.French_Guiana_human,YFR054C,1
BEB,226,10.French_Guiana_human,YFR054C,<1
BCK,260.375,10.French_Guiana_human,YFR054C,<1
BMR,244.125,10.French_Guiana_human,YFR054C,1
BND,185.875,10.French_Guiana_human,YFR054C,1
AGB,40.875,11.Ale_beer,YFR054C,1
AAC,361.75,11.Ale_beer,YFR054C,1
CNC,265.75,M3.Mosaic_Region_3,YFR054C,1
CBL,228.875,M3.Mosaic_Region_3,YFR054C,1
AKI,183.625,M3.Mosaic_Region_3,YFR054C,<1
ATE,182.125,M3.Mosaic_Region_3,YFR054C,1
CBM,270.875,M3.Mosaic_Region_3,YFR054C,1
CLG,168.5,M3.Mosaic_Region_3,YFR054C,1
CQC,184,12.West_African_cocoa,YFR054C,1
CQD,209.625,12.West_African_cocoa,YFR054C,>1
CQG,249.125,12.West_African_cocoa,YFR054C,>1
CQI,169.375,12.West_African_cocoa,YFR054C,1
CQH,218.125,12.West_African_cocoa,YFR054C,>1
CQL,384.75,12.West_African_cocoa,YFR054C,>1
ANN,208.125,12.West_African_cocoa,YFR054C,1
CQM,348.5,12.West_African_cocoa,YFR054C,>1
CQE,200.5,12.West_African_cocoa,YFR054C,1
CQK,334.25,12.West_African_cocoa,YFR054C,1
CQF,186,12.West_African_cocoa,YFR054C,1
CQN,391.875,12.West_African_cocoa,YFR054C,>1
CQP,314,M3.Mosaic_Region_3,YFR054C,1
AKQ,214.75,M3.Mosaic_Region_3,YFR054C,1
ALG,156.375,M3.Mosaic_Region_3,YFR054C,1
BTI,304.25,M3.Mosaic_Region_3,YFR054C,1
CGB,331.75,M3.Mosaic_Region_3,YFR054C,1
BSK,183.125,M3.Mosaic_Region_3,YFR054C,1
BMD,296,M3.Mosaic_Region_3,YFR054C,1
BRV,200.125,M3.Mosaic_Region_3,YFR054C,1
CKA,218.125,M3.Mosaic_Region_3,YFR054C,1
CHS,151.5,M3.Mosaic_Region_3,YFR054C,1
CHT,132.5,M3.Mosaic_Region_3,YFR054C,1
ATD,325.625,M3.Mosaic_Region_3,YFR054C,1
CDD,336,M3.Mosaic_Region_3,YFR054C,1
CDE,308.5,M3.Mosaic_Region_3,YFR054C,1
CPC,128.875,M3.Mosaic_Region_3,YFR054C,1
CKN,181.75,M3.Mosaic_Region_3,YFR054C,1
CIG,118.25,M3.Mosaic_Region_3,YFR054C,1
CIL,134.125,M3.Mosaic_Region_3,YFR054C,1
CII,160.5,M3.Mosaic_Region_3,YFR054C,1
CHQ,256.875,M3.Mosaic_Region_3,YFR054C,1
AEL,363.625,M3.Mosaic_Region_3,YFR054C,1
BIE,192.75,M3.Mosaic_Region_3,YFR054C,1
CIH,241.875,M3.Mosaic_Region_3,YFR054C,1
CIC,134.625,M3.Mosaic_Region_3,YFR054C,1
CIF,179.875,M3.Mosaic_Region_3,YFR054C,1
CID,123.5,M3.Mosaic_Region_3,YFR054C,1
CHN,302.375,M3.Mosaic_Region_3,YFR054C,1
CHP,274.875,M3.Mosaic_Region_3,YFR054C,1
BDM,256.75,M3.Mosaic_Region_3,YFR054C,>1
CEQ,245.375,M3.Mosaic_Region_3,YFR054C,1
BAF,207.5,13.African_palm_wine,YFR054C,1
CFA,222.375,13.African_palm_wine,YFR054C,1
CQA,227,13.African_palm_wine,YFR054C,>1
CQB,184.375,13.African_palm_wine,YFR054C,1
AKG,205.25,13.African_palm_wine,YFR054C,<1
AKB,267.125,13.African_palm_wine,YFR054C,1
AKE,206.75,13.African_palm_wine,YFR054C,<1
AKH,219,13.African_palm_wine,YFR054C,1
APQ,295.875,13.African_palm_wine,YFR054C,1
ATP,175.875,13.African_palm_wine,YFR054C,1
BAM,195.625,14.CHNIII,YFR054C,1
BAQ,190.375,14.CHNIII,YFR054C,1
BAG,163,15.CHNII,YFR054C,1
BAH,232.125,15.CHNII,YFR054C,1
BAL,224.125,16.CHNI,YFR054C,1
CCQ,223.625,18.Far_East_Asia,YFR054C,1
CCR,218.75,18.Far_East_Asia,YFR054C,1
CCS,227.25,18.Far_East_Asia,YFR054C,1
BAK,213,18.Far_East_Asia,YFR054C,1
BAI,168.875,18.Far_East_Asia,YFR054C,1
CCN,262.375,18.Far_East_Asia,YFR054C,1
CDL,269.25,18.Far_East_Asia,YFR054C,1
BMA,116.75,19.Malaysian,YFR054C,1
AKM,134.75,19.Malaysian,YFR054C,1
BMB,156.25,19.Malaysian,YFR054C,1
BMC,166.125,19.Malaysian,YFR054C,1
AMM,257.125,99.Other,YFR054C,1
BFA,305.75,99.Other,YFR054C,1
BFL,317.25,99.Other,YFR054C,1
AMB,199.5,99.Other,YFR054C,<1
AMC,163.5,99.Other,YFR054C,1
CDQ,301,99.Other,YFR054C,1
CDF,244.25,22.Russian,YFR054C,1
CDG,341,22.Russian,YFR054C,1
CDH,328,22.Russian,YFR054C,1
CDI,267.625,22.Russian,YFR054C,1
AMD,181.875,99.Other,YFR054C,1
AMF,233.875,99.Other,YFR054C,1
CEH,236.375,99.Other,YFR054C,1
CCP,231.75,99.Other,YFR054C,1
CDB,307.75,99.Other,YFR054C,1
AVI,253.75,23.North_American,YFR054C,1
